品名,最低价,平均价,最高价,规格,产地,单位,发布日期
大白菜,0.7,0.9,1.1,,冀陕辽,斤,2021-12-10 00:00:00
娃娃菜,1.0,1.1,1.2,大,冀豫,斤,2021-12-10 00:00:00
小白菜,1.3,1.45,1.6,,,斤,2021-12-10 00:00:00
圆白菜,1.5,1.75,2.0,暄,冀,斤,2021-12-10 00:00:00
圆白菜,1.1,1.15,1.2,扁\露地,鄂,斤,2021-12-10 00:00:00
紫甘蓝,1.4,1.45,1.5,精选,宁云,斤,2021-12-10 00:00:00
芹菜,1.4,1.6,1.8,,鲁,斤,2021-12-10 00:00:00
西芹,3.8,4.15,4.5,,辽,斤,2021-12-10 00:00:00
菠菜,1.8,2.15,2.5,精选,蒙,斤,2021-12-10 00:00:00
莴笋,1.0,1.35,1.7,净,冀,斤,2021-12-10 00:00:00
团生菜,2.0,2.5,3.0,毛筐\净,冀,斤,2021-12-10 00:00:00
散叶生菜,2.4,2.5,2.6,毛\净,京辽,斤,2021-12-10 00:00:00
罗马生菜,2.3,2.35,2.4,,冀,斤,2021-12-10 00:00:00
油菜,0.8,1.2,1.6,,冀,斤,2021-12-10 00:00:00
香菜,2.5,3.25,4.0,,冀,斤,2021-12-10 00:00:00
茴香,2.5,2.75,3.0,,冀,斤,2021-12-10 00:00:00
韭菜,3.5,3.85,4.2,,粤冀,斤,2021-12-10 00:00:00
苦菊,3.5,4.0,4.5,,辽,斤,2021-12-10 00:00:00
油麦菜,3.5,3.75,4.0,,辽,斤,2021-12-10 00:00:00
黄心菜,0.8,1.0,1.2,,皖,斤,2021-12-10 00:00:00
